Date,USDCAD
2003-08-06,1.4039
2003-08-07,1.3926
2003-08-08,1.3914
2003-08-11,1.38
2003-08-12,1.3845
2003-08-13,1.3797
2003-08-14,1.3933
2003-08-15,1.386
2003-08-18,1.3918
2003-08-19,1.3954
2003-08-20,1.401
2003-08-21,1.4064
2003-08-22,1.4005
2003-08-25,1.4009
2003-08-26,1.3941
2003-08-27,1.4021
2003-08-28,1.3942
2003-08-29,1.3862
2003-09-01,1.3783
2003-09-02,1.3936
2003-09-03,1.3785
2003-09-04,1.3726
2003-09-05,1.3695
2003-09-08,1.3732
2003-09-09,1.3665
2003-09-10,1.368
2003-09-11,1.3698
2003-09-12,1.364
2003-09-15,1.3664
2003-09-16,1.3683
2003-09-17,1.366
2003-09-18,1.3621
2003-09-19,1.3482
2003-09-22,1.3528
2003-09-23,1.3566
2003-09-24,1.3503
2003-09-25,1.3484
2003-09-26,1.353
2003-09-29,1.3519
2003-09-30,1.3523
2003-10-01,1.345
2003-10-02,1.3396
2003-10-03,1.3436
2003-10-06,1.3404
2003-10-07,1.3305
2003-10-08,1.3338
2003-10-09,1.3385
2003-10-10,1.3207
2003-10-13,1.3195
2003-10-14,1.324
2003-10-15,1.3273
2003-10-16,1.319
2003-10-17,1.3144
2003-10-20,1.3201
2003-10-21,1.3163
2003-10-22,1.3033
2003-10-23,1.3054
2003-10-24,1.306
2003-10-27,1.3087
2003-10-28,1.3096
2003-10-29,1.3119
2003-10-30,1.3134
2003-10-31,1.319
2003-11-03,1.3354
2003-11-04,1.3283
2003-11-05,1.3338
2003-11-06,1.338
2003-11-07,1.3225
2003-11-10,1.3127
2003-11-11,1.3109
2003-11-12,1.3032
2003-11-13,1.2989
2003-11-14,1.3021
2003-11-17,1.3112
2003-11-18,1.2976
2003-11-19,1.3045
2003-11-20,1.3021
2003-11-21,1.3027
2003-11-24,1.3182
2003-11-25,1.3088
2003-11-26,1.3029
2003-11-27,1.3072
2003-11-28,1.2995
2003-12-01,1.3034
2003-12-02,1.2971
2003-12-03,1.2993
2003-12-04,1.3104
2003-12-05,1.3047
2003-12-08,1.298
2003-12-09,1.3065
2003-12-10,1.3078
2003-12-11,1.3167
2003-12-12,1.3158
2003-12-15,1.3126
2003-12-16,1.3271
2003-12-17,1.3246
2003-12-18,1.3294
2003-12-19,1.3357
2003-12-22,1.3306
2003-12-23,1.3225
2003-12-24,1.306
2003-12-25,1.3097
2003-12-26,1.3065
2003-12-29,1.3105
2003-12-30,1.2931
2003-12-31,1.2967
2004-01-01,1.2828
2004-01-02,1.2883
2004-01-05,1.28
2004-01-06,1.2855
2004-01-07,1.2879
2004-01-08,1.279
2004-01-09,1.2705
2004-01-12,1.2755
2004-01-13,1.2707
2004-01-14,1.2898
2004-01-15,1.2948
2004-01-16,1.2988
2004-01-19,1.3011
2004-01-20,1.291
2004-01-21,1.3009
2004-01-22,1.2942
2004-01-23,1.3128
2004-01-26,1.3135
2004-01-27,1.3052
2004-01-28,1.3246
2004-01-29,1.3293
2004-01-30,1.3243
2004-02-02,1.3364
2004-02-03,1.3374
2004-02-04,1.3326
2004-02-05,1.3373
2004-02-06,1.3252
2004-02-09,1.3276
2004-02-10,1.3303
2004-02-11,1.3122
2004-02-12,1.3187
2004-02-13,1.3161
2004-02-16,1.3154
2004-02-17,1.31
2004-02-18,1.3236
2004-02-19,1.3298
2004-02-20,1.3367
2004-02-23,1.3365
2004-02-24,1.3287
2004-02-25,1.3335
2004-02-26,1.3426
2004-02-27,1.335
2004-03-01,1.3381
2004-03-02,1.342
2004-03-03,1.3383
2004-03-04,1.3331
2004-03-05,1.3216
2004-03-08,1.3195
2004-03-09,1.3241
2004-03-10,1.3244
2004-03-11,1.3194
2004-03-12,1.3353
2004-03-15,1.333
2004-03-16,1.3323
2004-03-17,1.338
2004-03-18,1.3284
2004-03-19,1.3329
2004-03-22,1.3335
2004-03-23,1.3323
2004-03-24,1.3416
2004-03-25,1.3294
2004-03-26,1.3187
2004-03-29,1.3083
2004-03-30,1.3063
2004-03-31,1.3092
2004-04-01,1.3061
2004-04-02,1.3154
2004-04-05,1.3133
2004-04-06,1.309
2004-04-07,1.309
2004-04-08,1.3272
2004-04-09,1.3268
2004-04-12,1.3356
2004-04-13,1.3353
2004-04-14,1.344
2004-04-15,1.3429
2004-04-16,1.344
2004-04-19,1.344
2004-04-20,1.3558
2004-04-21,1.3578
2004-04-22,1.3554
2004-04-23,1.3609
2004-04-26,1.348
2004-04-27,1.3514
2004-04-28,1.3755
2004-04-29,1.3692
2004-04-30,1.3697
2004-05-03,1.3734
2004-05-04,1.37
2004-05-05,1.3733
2004-05-06,1.3781
2004-05-07,1.3825
2004-05-10,1.3911
2004-05-11,1.3853
2004-05-12,1.3869
2004-05-13,1.3931
2004-05-14,1.3867
2004-05-17,1.3968
2004-05-18,1.3895
2004-05-19,1.3749
2004-05-20,1.3673
2004-05-21,1.3735
2004-05-24,1.3695
2004-05-25,1.3716
2004-05-26,1.3703
2004-05-27,1.3577
2004-05-28,1.3623
2004-05-31,1.3621
2004-06-01,1.3671
2004-06-02,1.3607
2004-06-03,1.3629
2004-06-04,1.351
2004-06-07,1.3463
2004-06-08,1.3496
2004-06-09,1.3591
2004-06-10,1.3594
2004-06-11,1.3655
2004-06-14,1.3746
2004-06-15,1.369
2004-06-16,1.3727
2004-06-17,1.3714
2004-06-18,1.364
2004-06-21,1.365
2004-06-22,1.3577
2004-06-23,1.3594
2004-06-24,1.3444
2004-06-25,1.3503
2004-06-28,1.3479
2004-06-29,1.345
2004-06-30,1.3327
2004-07-01,1.3311
2004-07-02,1.3234
2004-07-05,1.3257
2004-07-06,1.3277
2004-07-07,1.3212
2004-07-08,1.3168
