Date,Price,Open,High,Low,Vol.,Change %
07/16/2012,1.0146,1.0143,1.0175,1.013,,0.03%
07/13/2012,1.0143,1.0192,1.0206,1.0127,,-0.42%
07/12/2012,1.0186,1.0197,1.0252,1.0175,,-0.09%
07/11/2012,1.0195,1.0226,1.0233,1.0172,,-0.26%
07/10/2012,1.0222,1.0191,1.0231,1.0165,,0.31%
07/09/2012,1.019,1.0196,1.0223,1.0182,,-0.02%
07/06/2012,1.0192,1.0141,1.021,1.0139,,0.53%
07/05/2012,1.0138,1.013,1.016,1.0098,,0.08%
07/04/2012,1.013,1.0124,1.0143,1.0118,,0.09%
07/03/2012,1.0121,1.0166,1.0175,1.0119,,-0.44%
07/02/2012,1.0166,1.0164,1.0203,1.0155,,0.01%
06/29/2012,1.0165,1.0335,1.0343,1.0162,,-1.65%
06/28/2012,1.0336,1.025,1.0364,1.0231,,0.88%
06/27/2012,1.0246,1.0242,1.0269,1.0235,,0.05%
06/26/2012,1.0241,1.0294,1.0299,1.0232,,-0.44%
06/25/2012,1.0286,1.0258,1.032,1.0253,,0.43%
06/22/2012,1.0242,1.0288,1.0302,1.0239,,-0.46%
06/21/2012,1.0289,1.0189,1.0299,1.0174,,1.07%
06/20/2012,1.018,1.0177,1.0234,1.0157,,0.02%
06/19/2012,1.0178,1.0235,1.0246,1.0164,,-0.58%
06/18/2012,1.0237,1.0204,1.028,1.0191,,0.21%
06/15/2012,1.0216,1.0232,1.0258,1.0213,,-0.14%
06/14/2012,1.023,1.0295,1.0298,1.0221,,-0.66%
06/13/2012,1.0298,1.0261,1.0305,1.0241,,0.41%
06/12/2012,1.0256,1.032,1.0328,1.0253,,-0.58%
06/11/2012,1.0316,1.0222,1.0322,1.02,,0.53%
06/08/2012,1.0262,1.0279,1.0357,1.0259,,-0.12%
06/07/2012,1.0274,1.0277,1.0298,1.0208,,-0.03%
06/06/2012,1.0277,1.0381,1.0385,1.0269,,-0.94%
06/05/2012,1.0375,1.0396,1.0427,1.036,,-0.19%
06/04/2012,1.0395,1.0396,1.0448,1.0368,,-0.09%
06/01/2012,1.0404,1.0327,1.0444,1.032,,0.71%
05/31/2012,1.0331,1.0301,1.0368,1.026,,0.32%
05/30/2012,1.0298,1.0226,1.0313,1.022,,0.76%
05/29/2012,1.022,1.0238,1.0272,1.0206,,-0.17%
05/28/2012,1.0237,1.027,1.0274,1.0222,,-0.53%
05/25/2012,1.0292,1.0263,1.0313,1.0245,,0.29%
05/24/2012,1.0262,1.0247,1.0298,1.0225,,0.16%
05/23/2012,1.0246,1.0212,1.0298,1.0206,,0.37%
05/22/2012,1.0208,1.0174,1.0236,1.0151,,0.35%
05/21/2012,1.0172,1.0215,1.0248,1.0164,,-0.47%
05/18/2012,1.022,1.0197,1.0229,1.0137,,0.26%
05/17/2012,1.0194,1.0125,1.0199,1.0103,,0.71%
05/16/2012,1.0122,1.0069,1.0134,1.0053,,0.56%
05/15/2012,1.0066,1.0035,1.0076,0.9988,,0.36%
05/14/2012,1.003,1.0019,1.0055,0.9992,,0.24%
05/11/2012,1.0006,1.0029,1.0056,0.9951,,-0.15%
05/10/2012,1.0021,1.0026,1.0034,0.9976,,-0.01%
05/09/2012,1.0022,0.9991,1.0065,0.9984,,0.36%
05/08/2012,0.9986,0.9929,1.0024,0.9923,,0.57%
05/07/2012,0.9929,0.995,0.9989,0.9924,,-0.24%
05/04/2012,0.9953,0.9886,0.9965,0.986,,0.70%
05/03/2012,0.9884,0.9868,0.9895,0.9827,,0.20%
05/02/2012,0.9864,0.9858,0.9904,0.9848,,0.06%
05/01/2012,0.9858,0.987,0.9899,0.983,,-0.12%
04/30/2012,0.987,0.9807,0.9896,0.9801,,0.68%
04/27/2012,0.9803,0.9858,0.9872,0.9798,,-0.49%
04/26/2012,0.9851,0.9835,0.9857,0.9804,,0.22%
04/25/2012,0.9829,0.9874,0.9882,0.9822,,-0.41%
04/24/2012,0.9869,0.9909,0.9931,0.9868,,-0.39%
04/23/2012,0.9908,0.9927,0.9981,0.9903,,-0.07%
04/20/2012,0.9915,0.9951,0.9961,0.9895,,-0.38%
04/19/2012,0.9953,0.9909,0.9966,0.9879,,0.43%
04/18/2012,0.991,0.9902,0.9925,0.988,,0.06%
04/17/2012,0.9904,0.9998,1.0014,0.9863,,-0.92%
04/16/2012,0.9996,0.9989,1.0035,0.9972,,0.02%
04/13/2012,0.9994,0.9946,0.9998,0.9925,,0.51%
04/12/2012,0.9943,1.0039,1.004,0.9938,,-0.93%
04/11/2012,1.0036,1.0043,1.0054,1.0008,,-0.05%
04/10/2012,1.0041,0.9975,1.0048,0.995,,0.69%
04/09/2012,0.9972,0.9975,1.0004,0.9944,,0.00%
04/06/2012,0.9972,0.9931,0.9988,0.9916,,0.40%
04/05/2012,0.9932,0.9961,1,0.9906,,-0.28%
04/04/2012,0.996,0.9911,0.9975,0.9906,,0.56%
04/03/2012,0.9905,0.9906,0.9931,0.9887,,0.00%
04/02/2012,0.9905,0.9958,0.9992,0.9886,,-0.73%
03/30/2012,0.9978,0.9965,1,0.9952,,0.11%
03/29/2012,0.9967,0.9983,1.0021,0.9962,,-0.13%
03/28/2012,0.998,0.9952,1.0002,0.9944,,0.28%
03/27/2012,0.9952,0.9909,0.9959,0.9898,,0.47%
03/26/2012,0.9905,0.9982,1.0001,0.9903,,-0.75%
03/23/2012,0.998,0.9992,1.0036,0.9971,,-0.08%
03/22/2012,0.9988,0.9924,1.001,0.9911,,0.68%
03/21/2012,0.9921,0.9917,0.9937,0.9873,,0.06%
03/20/2012,0.9915,0.987,0.997,0.9868,,0.49%
03/19/2012,0.9867,0.9913,0.9933,0.9858,,-0.50%
03/16/2012,0.9917,0.9918,0.9943,0.9898,,-0.01%
03/15/2012,0.9918,0.993,0.9951,0.9903,,-0.09%
03/14/2012,0.9927,0.9888,0.9947,0.988,,0.46%
03/13/2012,0.9882,0.9928,0.9931,0.9879,,-0.39%
03/12/2012,0.9921,0.9909,0.9949,0.9898,,0.11%
03/09/2012,0.991,0.9907,0.9938,0.987,,0.04%
03/08/2012,0.9906,0.9979,0.9993,0.9891,,-0.71%
03/07/2012,0.9977,1.001,1.0027,0.9973,,-0.32%
03/06/2012,1.0009,0.9942,1.0031,0.9936,,0.67%
03/05/2012,0.9942,0.9893,0.9962,0.9884,,0.54%
03/02/2012,0.9889,0.9857,0.9896,0.9848,,0.33%
03/01/2012,0.9856,0.9894,0.9904,0.984,,-0.38%
02/29/2012,0.9894,0.9952,0.996,0.9844,,-0.50%
02/28/2012,0.9944,0.9989,0.9997,0.9941,,-0.45%
02/27/2012,0.9989,0.9991,1.0051,0.9974,,-0.07%
02/24/2012,0.9996,0.9975,1.0006,0.9964,,0.21%
02/23/2012,0.9975,1.0001,1.0012,0.9951,,-0.25%
02/22/2012,1,0.9967,1.0021,0.9952,,0.35%
02/21/2012,0.9965,0.9936,0.9978,0.9924,,0.29%
02/20/2012,0.9936,0.9935,0.9945,0.9906,,-0.21%
02/17/2012,0.9957,0.9967,0.9986,0.9939,,-0.05%
02/16/2012,0.9962,0.9995,1.0054,0.9953,,-0.28%
02/15/2012,0.999,0.9994,1.0006,0.9936,,0.01%
02/14/2012,0.9989,0.9994,1.0029,0.9978,,-0.03%
02/13/2012,0.9992,1.001,1.0019,0.9971,,-0.29%
02/10/2012,1.0021,0.9952,1.004,0.9941,,0.72%
02/09/2012,0.9949,0.996,0.9982,0.9924,,-0.11%
02/08/2012,0.996,0.9948,0.9992,0.9933,,0.16%
02/07/2012,0.9944,0.9956,0.9997,0.9938,,-0.10%
02/06/2012,0.9954,0.9948,0.9995,0.9928,,0.25%
02/03/2012,0.9929,0.9993,1.0035,0.9925,,-0.63%
02/02/2012,0.9992,0.9988,1.0012,0.9966,,0.04%
02/01/2012,0.9988,1.0028,1.0051,0.9962,,-0.38%
01/31/2012,1.0026,1.0022,1.0056,0.9964,,0.04%
01/30/2012,1.0022,1.0014,1.0072,1.001,,0.13%
01/27/2012,1.0009,1.0018,1.0044,0.9986,,-0.05%
01/26/2012,1.0014,1.0041,1.0051,0.998,,-0.26%
01/25/2012,1.004,1.0097,1.0149,1.0027,,-0.56%
01/24/2012,1.0097,1.0076,1.0143,1.007,,0.23%
01/23/2012,1.0074,1.0145,1.0164,1.005,,-0.53%
01/20/2012,1.0128,1.0116,1.0161,1.0106,,0.16%
01/19/2012,1.0112,1.0114,1.013,1.007,,-0.02%
01/18/2012,1.0114,1.0155,1.0179,1.011,,-0.36%
01/17/2012,1.0151,1.0179,1.0191,1.0112,,-0.28%
01/16/2012,1.018,1.0244,1.0255,1.0163,,-0.42%
01/13/2012,1.0223,1.0185,1.0286,1.0162,,0.40%
01/12/2012,1.0182,1.0191,1.0212,1.0138,,-0.08%
01/11/2012,1.019,1.0167,1.0212,1.0138,,0.22%
01/10/2012,1.0168,1.0232,1.0242,1.0152,,-0.64%
01/09/2012,1.0233,1.0282,1.0321,1.0224,,-0.37%
01/06/2012,1.0271,1.0191,1.0274,1.0169,,0.73%
01/05/2012,1.0197,1.0124,1.0227,1.012,,0.73%
01/04/2012,1.0123,1.0111,1.0164,1.0103,,0.14%
01/03/2012,1.0109,1.0193,1.0198,1.0074,,-0.84%
01/02/2012,1.0195,1.0209,1.0216,1.0179,,0.02%
12/30/2011,1.0193,1.0205,1.0222,1.0155,,-0.12%
12/29/2011,1.0205,1.0244,1.0271,1.0202,,-0.36%
