Contract_ID,Contract_Date,Next_3M_Date,Start_Spot,End_Spot,Contract_Forward,Exposure,Partial_Hedged,Unhedged,Spot_Change
78,2014-06-02,2014-09-01,1.0899,1.087,1.0874805976105557,800000.0,-1935.5219115555044,-2320.0000000000996,-0.0029000000000001247
79,2014-07-01,2014-10-01,1.0631,1.1162,1.060634148896371,800000.0,-1972.6808829030774,42480.00000000012,0.05310000000000015
80,2014-08-01,2014-11-03,1.0914,1.1357,1.0888685704309655,800000.0,-2025.1436552275236,35440.00000000001,0.044300000000000006
81,2014-09-01,2014-12-01,1.087,1.1328,1.0845328727490398,800000.0,-1973.7018007681684,36640.00000000005,0.04580000000000006
82,2014-10-01,2015-01-01,1.1162,1.1615,1.1136943130799164,800000.0,-2004.5495360669463,36239.99999999992,0.045299999999999896
83,2014-11-03,2015-02-02,1.1357,1.2566,1.1332636050688487,800000.0,-1949.115944920976,96720.0,0.12090000000000001
84,2014-12-01,2015-03-02,1.1328,1.2535,1.130313496794792,800000.0,-1989.202564166348,96560.00000000003,0.12070000000000003
85,2015-01-01,2015-04-01,1.1615,1.2619,1.1589794717018782,800000.0,-2016.4226384974172,80320.00000000003,0.10040000000000004
86,2015-02-02,2015-05-01,1.2566,1.2158,1.2547806590114827,800000.0,-1455.472790813772,-32639.999999999956,-0.04079999999999995
87,2015-03-02,2015-06-01,1.2535,1.2521,1.251810140802876,800000.0,-1351.8873576993328,-1120.0000000000543,-0.0014000000000000679
88,2015-04-01,2015-07-01,1.2619,1.2586,1.2602303200519274,800000.0,-1335.7439584581243,-2640.0000000000646,-0.0033000000000000806
89,2015-05-01,2015-08-03,1.2158,1.3151,1.2138275794938354,800000.0,-1577.9364049317123,79439.99999999996,0.09929999999999994
90,2015-06-01,2015-09-01,1.2521,1.3259,1.2501935501585004,800000.0,-1525.159873199655,59040.00000000007,0.07380000000000009
91,2015-07-01,2015-10-01,1.2586,1.3265,1.2568090918168655,800000.0,-1432.7265465075457,54320.00000000006,0.06790000000000007
92,2015-08-03,2015-11-02,1.3151,1.3091,1.314016153442721,800000.0,-867.0772458231113,-4800.000000000005,-0.006000000000000005
93,2015-09-01,2015-12-01,1.3259,1.3353,1.324774026525464,800000.0,-900.778779628908,7519.999999999883,0.009399999999999853
94,2015-10-01,2016-01-01,1.3265,1.3848,1.3250755437904254,800000.0,-1139.5649676597232,46640.000000000015,0.05830000000000002
95,2015-11-02,2016-02-01,1.3091,1.3945,1.3080210983741662,800000.0,-863.1213006669469,68320.00000000012,0.08540000000000014
96,2015-12-01,2016-03-01,1.3353,1.3406,1.334399752796644,800000.0,-720.1977626847267,4240.0000000000655,0.005300000000000082
97,2016-01-01,2016-04-01,1.3848,1.3009,1.3835552981124537,800000.0,-995.7615100370631,-67120.00000000007,-0.08390000000000009
98,2016-02-01,2016-05-02,1.3945,1.2527,1.3940473307031562,800000.0,-362.13543747507515,-113440.00000000012,-0.14180000000000015
99,2016-03-01,2016-06-01,1.3406,1.3075,1.3401648054737054,800000.0,-348.1556210356729,-26479.999999999927,-0.03309999999999991
100,2016-04-01,2016-07-01,1.3009,1.2915,1.3002177779442612,800000.0,-545.7776445910056,-7519.999999999883,-0.009399999999999853
101,2016-05-02,2016-08-01,1.2527,1.3121,1.2516679415803271,800000.0,-825.6467357382392,47520.000000000095,0.05940000000000012
102,2016-06-01,2016-09-01,1.3075,1.31,1.3067491823334083,800000.0,-600.6541332734372,1999.9999999999573,0.0024999999999999467
103,2016-07-01,2016-10-03,1.2915,1.3117,1.2908227920797024,800000.0,-541.7663362381475,16159.999999999996,0.020199999999999996
104,2016-08-01,2016-11-01,1.3121,1.3388,1.3113137817391955,800000.0,-628.9746086435955,21359.999999999956,0.026699999999999946
105,2016-09-01,2016-12-01,1.31,1.3313,1.3094112506554143,800000.0,-470.9994756685987,17039.999999999898,0.021299999999999875
106,2016-10-03,2017-01-02,1.3117,1.3437,1.3110777358867445,800000.0,-497.8112906044885,25599.999999999844,0.031999999999999806
107,2016-11-01,2017-02-01,1.3388,1.3048,1.3383319933081974,800000.0,-374.4053534420644,-27200.000000000025,-0.03400000000000003
108,2016-12-01,2017-03-01,1.3313,1.3325,1.3312002796434548,800000.0,-79.77628523612168,960.0000000000719,0.0012000000000000899
109,2017-01-02,2017-04-03,1.3437,1.3378,1.3438006567119454,800000.0,80.52536955638345,-4719.999999999835,-0.005899999999999794
110,2017-02-01,2017-05-01,1.3048,1.368,1.3049303268659325,800000.0,104.26149274600505,50560.00000000012,0.06320000000000014
111,2017-03-01,2017-06-01,1.3325,1.3513,1.3329990885936878,800000.0,399.2708749501972,15039.999999999942,0.018799999999999928
